ID,REFERENCES,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,CR2O3,FE SKARN,AU  SKARN,CU  SKARN,ZN  SKARN,W  SKARN,MO  SKARN,SN  SKARN
1,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,42.432,0.026,17.28,7.042,5.007,0.531,20.044,0,0,0,0,0,0,0,1
2,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,42.287,0.077,17.406,9.876,2.059,0.497,20.157,0,0,0,0,0,0,0,1
3,"Skarn textures and a case study: the Ocna de Fier-Dognecea orefield, Banat, Romania",42.27,0.04,9.16,13.284,1.39,0,31.8,0,0,0,0,1,0,0,0
4,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,42.161,0.053,16.889,7.212,4.517,0.652,20.06,0,0,0,0,0,0,0,1
5,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,42.158,0.094,17.272,8.045,4.384,0.436,17.981,0,0,0,0,0,0,0,1
6,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,42.079,0.117,17.156,9.937,2.627,0.326,19.99,0,0,0,0,0,0,0,1
7,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,42.043,0.023,17.227,7.455,5.025,0.304,19.845,0,0,0,0,0,0,0,1
8,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.934,0.065,16.331,8.684,4.722,0.435,19.557,0,0,0,0,0,0,0,1
9,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.908,0.021,17.31,8.767,3.858,0.316,19.917,0,0,0,0,0,0,0,1
10,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.868,0.083,17.09,9.768,2.845,0.291,20.028,0,0,0,0,0,0,0,1
11,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.826,0.028,17.276,8.621,3.963,0.297,20.003,0,0,0,0,0,0,0,1
12,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.822,0,17.288,9.167,3.658,0.263,19.922,0,0,0,0,0,0,0,1
13,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.8,0,16.535,7.189,5.79,0.422,19.973,0,0,0,0,0,0,0,1
14,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.782,0.047,17.114,9.845,2.885,0.322,19.919,0,0,0,0,0,0,0,1
15,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.782,0.159,17.06,9.125,3.669,0.473,19.776,0,0,0,0,0,0,0,1
16,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.759,0.025,17.336,7.684,4.869,0.289,19.957,0,0,0,0,0,0,0,1
17,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.727,0.02,17.383,7.895,4.662,0.323,19.992,0,0,0,0,0,0,0,1
18,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.72,0.051,17.312,8.31,4.24,0.375,19.792,0,0,0,0,0,0,0,1
19,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.667,0.129,16.527,10.383,2.735,0.375,19.645,0,0,0,0,0,0,0,1
20,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.622,0.08,17.143,8.9,4.002,0.326,19.846,0,0,0,0,0,0,0,1
21,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.605,0.053,16.735,9.024,4.943,0.34,19.143,0,0,0,0,0,0,0,1
22,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.55,0.133,16.859,9.853,2.771,0.612,19.97,0,0,0,0,0,0,0,1
23,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.536,0.105,16.374,7.731,5.177,0.533,19.874,0,0,0,0,0,0,0,1
24,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.519,0,16.883,8.617,4.44,0.257,19.967,0,0,0,0,0,0,0,1
25,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.513,0,16.969,8.632,4.424,0.233,19.856,0,0,0,0,0,0,0,1
26,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.499,0.028,16.599,9.739,3.761,0.239,19.809,0,0,0,0,0,0,0,1
27,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.434,0,16.037,10.428,2.982,0.339,19.796,0,0,0,0,0,0,0,1
28,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.42,0,16.677,9.189,3.812,0.322,19.947,0,0,0,0,0,0,0,1
29,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.415,0.09,16.827,9.657,3.668,0.262,19.627,0,0,0,0,0,0,0,1
30,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.309,0,16.773,8.839,4.017,0.311,19.964,0,0,0,0,0,0,0,1
31,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.278,0.03,16.448,9.703,3.869,0.243,19.778,0,0,0,0,0,0,0,1
32,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.264,0.031,17.092,9.244,3.638,0.267,19.76,0,0,0,0,0,0,0,1
33,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.242,0.025,16.353,10.272,3.102,0.36,19.933,0,0,0,0,0,0,0,1
34,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.241,0,16.326,9.801,3.687,0.288,19.699,0,0,0,0,0,0,0,1
35,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.222,0,16.766,9.006,3.981,0.278,19.762,0,0,0,0,0,0,0,1
36,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.216,0,16.6,8.733,4.458,0.282,19.998,0,0,0,0,0,0,0,1
37,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.213,0.034,16.924,8.348,4.583,0.329,19.831,0,0,0,0,0,0,0,1
38,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.196,0.046,16.127,8.653,5.109,0.396,19.748,0,0,0,0,0,0,0,1
39,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.18,0.085,15.635,7.926,4.533,0.551,19.827,0,0,0,0,0,0,0,1
40,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.171,0.162,16.615,7.742,4.651,0.571,19.812,0,0,0,0,0,0,0,1
41,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,41.097,0,16.481,9.953,3.548,0.25,19.79,0,0,0,0,0,0,0,1
